winner,outcome,date,venue,toss_winner,toss_decision,team1,team2
Pakistan,,2020-11-08,Rawalpindi Cricket Stadium,Pakistan,field,Zimbabwe,Pakistan
Pakistan,,2020-11-10,Rawalpindi Cricket Stadium,Zimbabwe,bat,Zimbabwe,Pakistan
New Zealand,,2020-11-27,Eden Park,New Zealand,field,West Indies,New Zealand
England,,2020-11-27,Newlands,England,field,South Africa,England
England,,2020-11-29,Boland Park,England,field,South Africa,England
New Zealand,,2020-11-29,Bay Oval,West Indies,field,New Zealand,West Indies
England,,2020-12-01,Newlands,South Africa,bat,South Africa,England
India,,2020-12-04,Manuka Oval,Australia,field,India,Australia
India,,2020-12-06,Sydney Cricket Ground,India,field,Australia,India
Australia,,2020-12-08,Sydney Cricket Ground,India,field,Australia,India
New Zealand,,2020-12-18,Eden Park,Pakistan,bat,Pakistan,New Zealand
New Zealand,,2020-12-20,Seddon Park,Pakistan,bat,Pakistan,New Zealand
Pakistan,,2020-12-22,McLean Park,Pakistan,field,New Zealand,Pakistan
Pakistan,,2021-02-11,Gaddafi Stadium,South Africa,field,Pakistan,South Africa
South Africa,,2021-02-13,Gaddafi Stadium,South Africa,field,Pakistan,South Africa
Pakistan,,2021-02-14,Gaddafi Stadium,Pakistan,field,South Africa,Pakistan
New Zealand,,2021-02-22,Hagley Oval,Australia,field,New Zealand,Australia
New Zealand,,2021-02-25,University Oval,Australia,field,New Zealand,Australia
Australia,,2021-03-03,Westpac Stadium,New Zealand,field,Australia,New Zealand
West Indies,,2021-03-03,"Coolidge Cricket Ground, Antigua",West Indies,field,Sri Lanka,West Indies
Australia,,2021-03-05,Westpac Stadium,Australia,bat,Australia,New Zealand
Sri Lanka,,2021-03-05,"Coolidge Cricket Ground, Antigua",Sri Lanka,bat,Sri Lanka,West Indies
West Indies,,2021-03-07,"Coolidge Cricket Ground, Antigua",Sri Lanka,bat,Sri Lanka,West Indies
New Zealand,,2021-03-07,Sky Stadium,Australia,bat,Australia,New Zealand
England,,2021-03-12,Narendra Modi Stadium,England,field,India,England
India,,2021-03-14,Narendra Modi Stadium,India,field,England,India
England,,2021-03-16,Narendra Modi Stadium,England,field,India,England
India,,2021-03-18,Narendra Modi Stadium,England,field,India,England
India,,2021-03-20,Narendra Modi Stadium,England,field,India,England
New Zealand,,2021-03-28,Seddon Park,New Zealand,bat,New Zealand,Bangladesh
New Zealand,,2021-03-30,McLean Park,Bangladesh,field,New Zealand,Bangladesh
New Zealand,,2021-04-01,Eden Park,Bangladesh,field,New Zealand,Bangladesh
Namibia,,2021-04-03,Wanderers,Uganda,bat,Uganda,Namibia
Namibia,,2021-04-05,"Wanderers Cricket Ground, Windhoek",Namibia,bat,Namibia,Uganda
Namibia,,2021-04-05,"Wanderers Cricket Ground, Windhoek",Namibia,bat,Namibia,Uganda
Pakistan,,2021-04-10,"The Wanderers Stadium, Johannesburg",South Africa,bat,South Africa,Pakistan
South Africa,,2021-04-12,"The Wanderers Stadium, Johannesburg",Pakistan,bat,Pakistan,South Africa
Pakistan,,2021-04-14,"SuperSport Park, Centurion",Pakistan,field,South Africa,Pakistan
Pakistan,,2021-04-16,"SuperSport Park, Centurion",Pakistan,field,South Africa,Pakistan
Nepal,,2021-04-17,"Tribhuvan University International Cricket Ground, Kirtipur",Nepal,field,Netherlands,Nepal
Netherlands,,2021-04-18,"Tribhuvan University International Cricket Ground, Kirtipur",Netherlands,bat,Netherlands,Malaysia
Nepal,,2021-04-19,"Tribhuvan University International Cricket Ground, Kirtipur",Nepal,field,Malaysia,Nepal
Netherlands,,2021-04-20,"Tribhuvan University International Cricket Ground, Kirtipur",Nepal,bat,Nepal,Netherlands
Pakistan,,2021-04-21,Harare Sports Club,Zimbabwe,field,Pakistan,Zimbabwe
Nepal,,2021-04-22,"Tribhuvan University International Cricket Ground, Kirtipur",Malaysia,field,Nepal,Malaysia
Zimbabwe,,2021-04-23,Harare Sports Club,Pakistan,field,Zimbabwe,Pakistan
Nepal,,2021-04-24,"Tribhuvan University International Cricket Ground, Kirtipur",Netherlands,field,Nepal,Netherlands
Pakistan,,2021-04-25,Harare Sports Club,Pakistan,bat,Pakistan,Zimbabwe
Czech Republic,,2021-05-21,"Scott Page Field, Vinor",Czech Republic,field,Luxembourg,Czech Republic
Luxembourg,,2021-05-22,"Scott Page Field, Vinor",Luxembourg,field,Czech Republic,Luxembourg
Austria,,2021-05-22,"Scott Page Field, Vinor",Czech Republic,field,Austria,Czech Republic
Austria,,2021-05-23,"Scott Page Field, Vinor",Czech Republic,bat,Czech Republic,Austria
Luxembourg,,2021-05-23,"Scott Page Field, Vinor",Austria,bat,Austria,Luxembourg
England,,2021-06-23,"Sophia Gardens, Cardiff",Sri Lanka,bat,Sri Lanka,England
Romania,,2021-06-24,"National Sports Academy, Sofia",Greece,bat,Greece,Romania
England,,2021-06-24,"Sophia Gardens, Cardiff",Sri Lanka,bat,Sri Lanka,England
Romania,,2021-06-25,"National Sports Academy, Sofia",Romania,bat,Romania,Serbia
Greece,,2021-06-25,"National Sports Academy, Sofia",Greece,field,Serbia,Greece
Romania,,2021-06-25,"National Sports Academy, Sofia",Bulgaria,bat,Bulgaria,Romania
West Indies,,2021-06-26,"National Cricket Stadium, St George's, Grenada",West Indies,field,South Africa,West Indies
